SER,DATE,SPECIES,SEX,MATURITY,WEIGHT,GRID REF,LOCATION,TIME of DAY,,,,,,,,,
1,08-Apr-23,FALLOW,M,FAWN,,600 393,,,,,,,,,,,
2,08-Apr-23,MUNTJAC,M,BUCK,,601 394,,,,,,,,,,,
3,08-Apr-23,FOX,F,VIXEN,,598 392,,,,,,,,,,,
4,18-Apr-23,FALLOW,M,PRICKET,,608 384,Little hill highseat,,,,,,,,,,
5,19-May-23,FOX,F,VIXEN,,610 380,,,,,,,,,,,
6,19-May-23,MUNTJAC,M,BUCK,,608 382,,,,,,,,,,,
7,01-Jun-23,MUNTJAC,M,BUCK,,601 396,,,,,,,,,,,
8,11-Jun-23,MUNTJAC,M,BUCK,,N/K,,,,,,,,,,,
9,05-Jul-23,ROE,M,6 PT BUCK,,614 391,Highnam Farm,,,,,,,,,,
10,09-Jul-23,MUNTJAC,M,BUCK,,597 396,,,,,,,,,,,
11,21-Jul-23,MUNTJAC,M,BUCK,10,610 387,,,,,,,,,,,
12,22-Jul-23,MUNTJAC,F,DOE,9,600 392,,,,,,,,,,,
13,23-Jul-23,ROE,M,4 PT BUCK,18,608 394,,,,,,,,,,,
14,23-Jul-23,FOX,M,DOG,N/A,614 400,,,,,,,,,,,
15,23-Jul-23,FOX,F,VIXEN,N/A,614 400,,,,,,,,,,,
16,01-Aug-23,FALLOW,M,PRICKET,,610 395,TARRINGTON COMMON,PM,,,,,,,,,
17,02-Aug-23,FALLOW,M,PRICKET,32,610 401,TARRINGTON COMMON,PM,,,,,,,,,
18,02-Aug-23,FALLOW,M,PRICKET,33,610 401,TARRINGTON COMMON,PM,,,,,,,,,
19,04-Aug-23,FALLOW,M,PRICKET,34,608 397,TARRINGTON COMMON,PM,,,,,,,,,
20,05-Aug-23,FALLOW,M,PRICKET,36,613 381,BACKBURY HILL,PM,,,,,,,,,
21,05-Aug-23,FALLOW,M,SORREL,49,613 381,BACKBURY HILL,PM,,,,,,,,,
22,05-Aug-23,FALLOW,M,PRICKET,35,596 387,BACKBURY HILL,PM,,,,,,,,,
23,05-Aug-23,FOX,,,,,BACKBURY HILL,PM,,,,,,,,,
24,06-Aug-23,FALLOW,M,FAWN,22,583 393,DORMINGTON WOODS,AM,,,,,,,,,
,06-Aug-23,MUNTJAC,F,DOE,8,624 364,DEVERAUX PONDS,AM,,,,,,,,,
25,06-Aug-23,MUNTJAC,M,BUCK,8,623 373,DEVERAUX PONDS,AM,,,,,,,,,
26,06-Aug-23,FOX,,,,617 388,HIGHNAM FARM,PM,,,,,,,,,
27,07-Aug-23,FALLOW,F,DOE,35,596 395,COPGROVE FARM,PM,,,,,,,,,
28,08-Aug-23,FALLOW,M,PRICKET,34.5,608 397,TARRINGTON COMMON,PM,,,,,,,,,
29,09-Aug-23,FALLOW,M,PRICKET,25,608 387,PLANTATION,AM,,,,,,,,,
